+-----------------------------------+----------------+
|               name                | LENGTH(p.name) |
| Janet Ray                         | 9              |
| Janet Tracy Keijser               | 19             |
| Jang Dong-Gun                     | 13             |
| Jang Hyuk                         | 9              |
| Jang Shin-yeong                   | 15             |
| Jang Shin-yeong                   | 15             |
| Jang-Su Bae                       | 11             |
| Janibek Anuarov                   | 15             |
| Janica Draisma                    | 14             |
| Janice Davies                     | 13             |
| Janice Gray                       | 11             |
| Janice Rieman                     | 13             |
| Janiece Jary                      | 12             |
| Janieck van de Polder             | 21             |
| Janine Chun-Ning Chang            | 22             |
| Janine Turner                     | 13             |
| Janine Turner                     | 13             |
| Janis DeLucia Allen               | 19             |
| Janis Sue Enarson                 | 17             |
| Janki Shah                        | 10             |
| Janna Jo Scheunhage               | 19             |
| Janna Katsaragaki                 | 17             |
| Janne Shevtshenko                 | 17             |
| Janusz Radek                      | 12             |
| Jaran Ngamdee                     | 13             |
| Jaran Ngamdee                     | 13             |
| Jared Altura                      | 12             |
| Jared Fink                        | 10             |
| Jared King                        | 10             |
| Jared McVay                       | 11             |
| Jared Mitchell                    | 14             |
| Jared Turner                      | 12             |
| Jared Vandegrift                  | 16             |
| Jarell Houston                    | 14             |
| Jari Halonen                      | 12             |
| Jari Virman                       | 11             |
| Jarmila Dubová                    | 14             |
| Jarmo Hyttinen                    | 14             |
| Jarmo Mäkinen                     | 13             |
| Jaromír Kalina                    | 14             |
| Jaroslav Dusek                    | 14             |
| Jarrid Geduld                     | 13             |
| Jarunee Boonsake                  | 16             |
| Jarupus Pattamasiri               | 19             |
| Jasbir Jassi                      | 12             |
| Jasbir Mann                       | 11             |
| Jasi Cotton Lanier                | 18             |
| Jasmin Gerat                      | 12             |
| Jasmin Harnau                     | 13             |
| Jasmine Jessica Anthony           | 23             |
| Jasna Djuricic                    | 14             |
| Jasna Zalica                      | 12             |
| Jason 'Wee Man' Acuña             | 21             |
| Jason 'Wee Man' Acuña             | 21             |
| Jason Allen                       | 11             |
| Jason Aspes                       | 11             |
| Jason Atwood                      | 12             |
| Jason Bailey                      | 12             |
| Jason Behr                        | 10             |
| Jason Behr                        | 10             |
| Jason Bentley                     | 13             |
| Jason Booth                       | 11             |
| Jason Brown                       | 11             |
| Jason Carter                      | 12             |
| Jason Carter                      | 12             |
| Jason Chan                        | 10             |
| Jason Chu                         | 9              |
| Jason Clarke                      | 12             |
| Jason Clow                        | 10             |
| Jason Consoli                     | 13             |
| Jason Cosky                       | 11             |
| Jason Courtemanche                | 18             |
| Jason Cullen                      | 12             |
| Jason E. Smith                    | 14             |
| Jason Ellis                       | 11             |
| Jason Flemyng                     | 13             |
| Jason Flemyng                     | 13             |
| Jason Foster                      | 12             |
| Jason Foster                      | 12             |
| Jason Fox                         | 9              |
| Jason Gray                        | 10             |
| Jason Harvey                      | 12             |
| Jason Jones                       | 11             |
| Jason L. Maier                    | 14             |
| Jason Lee                         | 9              |
| Jason Loughridge                  | 16             |
| Jason MacDonald                   | 15             |
| Jason Madera                      | 12             |
| Jason Mantzoukas                  | 16             |
| Jason Mewes                       | 11             |
| Jason Morck                       | 11             |
| Jason Patric                      | 12             |
| Jason Perry                       | 11             |
| Jason Reilly                      | 12             |
| Jason Sabala                      | 12             |
| Jason Schwartz                    | 14             |
| Jason Schwartzman                 | 17             |
| Jason Smith                       | 11             |
| Jason Statham                     | 13             |
| Jason T. Douglas                  | 16             |
| Jason Turner                      | 12             |
| Jason Williams                    | 14             |
| Jason Winer                       | 11             |
| Jaspal Bhatti                     | 13             |
| Jasper                            | 6              |
| Jasper                            | 6              |
| Jasper                            | 6              |
| Jasper Johal                      | 12             |
| Jasper Oldenhof                   | 15             |
| Jasper Pääkkönen                  | 16             |
| Jass Bassi                        | 10             |
| Jass Seljamaa                     | 13             |
| Jassie Gift                       | 11             |
| Jatin Bora                        | 10             |
| Jatin Bora                        | 10             |
| Jatin Bora                        | 10             |
| Jatin Bora                        | 10             |
| Jatin Bora                        | 10             |
| Jatin Bora                        | 10             |
| Jatin Sial                        | 10             |
| Jaturong Kolimart                 | 17             |
| Jaturong Mokjok                   | 15             |
| Javad Abedi                       | 11             |
| Javad Mojabi                      | 12             |
| Javad Nazari                      | 12             |
| Javad Zeytuni                     | 13             |
| Javier Albalá                     | 13             |
| Javier Albalá                     | 13             |
| Javier Alonso                     | 13             |
| Javier Bardem                     | 13             |
| Javier Cifrián                    | 14             |
| Javier Cámara                     | 13             |
| Javier Cárdenas                   | 15             |
| Javier De la Vega                 | 17             |
| Javier Gutiérrez                  | 16             |
| Javier Kafka                      | 12             |
| Javier Lombardo                   | 15             |
| Javier Lombardo                   | 15             |
| Javier Murabito                   | 15             |
| Javier Ortiz                      | 12             |
| Javier Pereira                    | 14             |
| Javier Páez                       | 11             |
| Javier Veiga                      | 12             |
| Javier Veiga                      | 12             |
| Javorn Drummond                   | 15             |
| Jawan Mard Homayoun               | 19             |
| Jay Bailey                        | 10             |
| Jay Barber                        | 10             |
| Jay Baruchel                      | 12             |
| Jay Bingham                       | 11             |
| Jay Cascio                        | 10             |
| Jay Chandrasekhar                 | 17             |
| Jay Hernandez                     | 13             |
| Jay Hickman                       | 11             |
| Jay Jintai                        | 10             |
| Jay Jordan Farber                 | 17             |
| Jay Kalgutkar                     | 13             |
| Jay Manalo                        | 10             |
| Jay Manalo                        | 10             |
| Jay Manalo                        | 10             |
| Jay Manalo                        | 10             |
| Jay Mohr                          | 8              |
| Jay O. Sanders                    | 14             |
| Jay Pearson                       | 11             |
| Jay Ryan                          | 8              |
| Jay Sefton                        | 10             |
| Jay Webber                        | 10             |
| Jay Wertzler                      | 12             |
| Jay-Z                             | 5              |
| Jaya Ahsan                        | 10             |
| Jaya Bhattacharya                 | 17             |
| Jaya Mathur                       | 11             |
| Jaya Prada                        | 10             |
| Jaya Prada                        | 10             |
| Jaya Prada                        | 10             |
| Jayakrishnan                      | 12             |
| Jayalalitha                       | 11             |
| Jayalalitha                       | 11             |
| Jayalalitha                       | 11             |
| Jayalath Manoratne                | 18             |
| Jayam Ravi                        | 10             |
| Jayamala                          | 8              |
| Jayanand                          | 8              |
| Jayantha Bopearachchi             | 21             |
| Jayaprakash Reddy                 | 17             |
| Jayaram                           | 7              |
| Jayaram                           | 7              |
| Jayaram                           | 7              |
| Jayaram                           | 7              |
| Jayasudha                         | 9              |
| Jayasurya                         | 9              |
| Jayasurya                         | 9              |
| Jayasurya                         | 9              |
| Jayasurya                         | 9              |
| Jayawant Wadkar                   | 15             |
| Jaycee Chan                       | 11             |
| Jaydy Michel                      | 12             |
| Jaymes Butler                     | 13             |
| Jayne Haynes                      | 12             |
| Jayne Houdyshell                  | 16             |
| Jaynelle Kennedy                  | 16             |
| Jayone                            | 6              |
| Jayson Therrien                   | 15             |
| Jaz Pandher                       | 11             |
| Jazmín Stuart                     | 13             |
| Jc Bailey                         | 9              |
| Jc Carroll                        | 10             |
| Jean Benguigui                    | 14             |
| Jean Benguigui                    | 14             |
| Jean Boht                         | 9              |
| Jean Boulbet                      | 12             |
| Jean Chabot                       | 11             |
| Jean Daviot                       | 11             |
| Jean Daviot                       | 11             |
| Jean Dujardin                     | 13             |
| Jean Dujardin                     | 13             |
| Jean Ferrat                       | 11             |
| Jean Garcia                       | 11             |
| Jean Garcia                       | 11             |
| Jean Gaunt                        | 10             |
| Jean Guy Comeau                   | 15             |
| Jean Harlez                       | 11             |
| Jean Lapointe                     | 13             |
| Jean Leloup                       | 11             |
| Jean Loose                        | 10             |
| Jean Odoutan                      | 12             |
| Jean Paul Leroux                  | 16             |
| Jean Piat                         | 9              |
| Jean Pierre Noher                 | 17             |
| Jean Reno                         | 9              |
| Jean Reno                         | 9              |
| Jean Simmons                      | 12             |
| Jean-Baptiste Eydt                | 18             |
| Jean-Baptiste Maunier             | 21             |
| Jean-Bertrand Aristide            | 22             |
| Jean-Charles de Castelbajac       | 27             |
| Jean-Christophe Bouvet            | 22             |
| Jean-Christophe Casanova          | 24             |
| Jean-Claude Carrière              | 20             |
| Jean-Claude Dreyfus               | 19             |
| Jean-Claude Dreyfus               | 19             |
| Jean-Claude Lecas                 | 17             |
| Jean-Claude Van Damme             | 21             |
| Jean-Daniel Bécache               | 19             |
| Jean-François Harrisson           | 23             |
| Jean-Jacques Rousseau             | 21             |
| Jean-Jacques Tesson               | 19             |
| Jean-Louis Blanc                  | 16             |
| Jean-Luc Bideau                   | 15             |
| Jean-Luc Couchard                 | 17             |
| Jean-Luc Julien                   | 15             |
| Jean-Luc Nancy                    | 14             |
| Jean-Marc Barr                    | 14             |
| Jean-Marc Delacruz                | 18             |
| Jean-Marc Léger                   | 15             |
| Jean-Marc Moutout                 | 17             |
| Jean-Marie Audigier               | 19             |
| Jean-Marie Audigier               | 19             |
| Jean-Marie Lamour                 | 17             |
| Jean-Marie Pelt                   | 15             |
| Jean-Marie Straub                 | 17             |
| Jean-Michel Arnold                | 18             |
| Jean-Michel Carol                 | 17             |
| Jean-Michel Douté                 | 17             |
| Jean-Michel Martial               | 19             |
| Jean-Michel Martin                | 18             |
| Jean-Nicolas Verreault            | 22             |
| Jean-Nicolas Verreault            | 22             |
| Jean-Pascal Abribat               | 19             |
| Jean-Paul Rouve                   | 15             |
| Jean-Paul Rouve                   | 15             |
| Jean-Philippe Sêt                 | 17             |
| Jean-Pierre Bacri                 | 17             |
| Jean-Pierre Bekolo                | 18             |
| Jean-Pierre Bouchard              | 20             |
| Jean-Pierre Bouyxou               | 19             |
| Jean-Pierre Cornu                 | 17             |
| Jean-Pierre Cornu                 | 17             |
| Jean-Pierre Darroussin            | 22             |
| Jean-Pierre Darroussin            | 22             |
| Jean-Pierre Darroussin            | 22             |
| Jean-Pierre Dupuy                 | 17             |
| Jean-Pierre Jaud                  | 16             |
| Jean-Pierre Léaud                 | 17             |
| Jean-Pierre Marielle              | 20             |
| Jean-Pierre Marielle              | 20             |
| Jean-Pierre Ménard                | 18             |
| Jean-Pierre Nshanian              | 20             |
| Jean-Pierre Perreault             | 21             |
| Jean-Robert Bourdage              | 20             |
| Jeanette Andersson                | 18             |
| Jeanette Brox                     | 13             |
| Jeania Ingle                      | 12             |
| Jeanne Balibar                    | 14             |
| Jeanne Bishop                     | 13             |
| Jeannette Rainey                  | 16             |
| Jeannie Epper                     | 13             |
| Jeannie Rush                      | 12             |
| Jeannine Angelique                | 18             |
| Jearlyn Steele                    | 14             |
| Jed Davis                         | 9              |
| Jee-Young Kim                     | 13             |
| Jeet                              | 4              |
| Jeet                              | 4              |
| Jeet                              | 4              |
| Jeet                              | 4              |
| Jeet                              | 4              |
| Jeeva                             | 5              |
| Jeeva                             | 5              |
| Jeeva                             | 5              |
| Jeevan Handunnetti                | 18             |
| Jeff Alden                        | 10             |
| Jeff Anderson                     | 13             |
| Jeff Anderson                     | 13             |
| Jeff Angel                        | 10             |
| Jeff Basara                       | 11             |
| Jeff Bearden                      | 12             |
| Jeff Beck                         | 9              |
| Jeff Bennett                      | 12             |
| Jeff Birk                         | 9              |
| Jeff Bosley                       | 11             |
| Jeff Bridges                      | 12             |
| Jeff Bridges                      | 12             |
| Jeff Bridges                      | 12             |
| Jeff Burch                        | 10             |
| Jeff Clark                        | 10             |
| Jeff Clark                        | 10             |
| Jeff Clark                        | 10             |
| Jeff Cohen                        | 10             |
| Jeff Conaway                      | 12             |
| Jeff Crumrine                     | 13             |
| Jeff D'Agostino                   | 15             |
| Jeff Daniels                      | 12             |
| Jeff Davis                        | 10             |
| Jeff De Lucio-Brock               | 19             |
| Jeff Denton                       | 11             |
| Jeff Dylan Graham                 | 17             |
| Jeff Dylan Graham                 | 17             |
| Jeff Fahey                        | 10             |
| Jeff Fahey                        | 10             |
| Jeff Fahey                        | 10             |
| Jeff Fahey                        | 10             |
| Jeff Galpin                       | 11             |
| Jeff Gammons                      | 12             |
| Jeff Gammons                      | 12             |
| Jeff Held                         | 9              |
| Jeff Jakotic                      | 12             |
| Jeff Jordan                       | 11             |
| Jeff Kinney                       | 11             |
| Jeff Kober                        | 10             |
| Jeff Marchelletta                 | 17             |
| Jeff Marlow                       | 11             |
| Jeff Meyer                        | 10             |
| Jeff Power                        | 10             |
| Jeff Samford                      | 12             |
| Jeff Slag                         | 9              |
| Jeff Voss                         | 9              |
| Jefferson Arca                    | 14             |
| Jefferson Brown                   | 15             |
| Jeffrey Dean Morgan               | 19             |
| Jeffrey Donovan                   | 15             |
| Jeffrey Edward Baksinski          | 24             |
| Jeffrey Hidalgo                   | 15             |
| Jeffrey Hudson                    | 14             |
| Jeffrey Lipsitz                   | 15             |
| Jeffrey Nash                      | 12             |
| Jeffrey Quizon                    | 14             |
| Jeffrey Santos                    | 14             |
| Jeffrey Schecter                  | 16             |
| Jeffrey Tambor                    | 14             |
| Jeffrey Todd                      | 12             |
| Jeffrey Wan-Chung Lam             | 21             |
| Jeffrey Wright                    | 14             |
| Jeffrey Wright                    | 14             |
| Jehangir Karkaria                 | 17             |
| Jehangir Khan                     | 13             |
| Jelena Curuvija                   | 15             |
| Jelena Djokic                     | 13             |
| Jelena Djokic                     | 13             |
| Jello Biafra                      | 12             |
| Jelon Vieira                      | 12             |
| Jemaine Clement                   | 15             |
| Jemeela Mustchin                  | 16             |
| Jemila Hart                       | 11             |
| Jen Landon                        | 10             |
| Jen Nikolaisen                    | 14             |
| Jen Oda                           | 7              |
| Jen Schwartz                      | 12             |
| Jen Taylor                        | 10             |
| Jen-Ya Wu                         | 9              |
| Jena Malone                       | 11             |
| Jena Malone                       | 11             |
| Jeng-Hua Yu                       | 11             |
| Jenicia Garcia                    | 14             |
| Jenifer Lewis                     | 13             |
| Jenifour Jones                    | 14             |
| Jenine Desiderio                  | 16             |
| Jenique Johnson                   | 15             |
| Jenissa Reynoso                   | 15             |
| Jenn Hawkins                      | 12             |
| Jenna Fischer                     | 13             |
| Jenna Lamia                       | 11             |
| Jenna Leigh Green                 | 17             |
| Jennette McCurdy                  | 16             |
| Jenni Banerjee                    | 14             |
| Jenni Fontana                     | 13             |
| Jennia Fredrique Aponte           | 23             |
| Jennifer Albano                   | 15             |
| Jennifer Amorelli                 | 17             |
| Jennifer Aniston                  | 16             |
| Jennifer Arzoumanian              | 20             |
| Jennifer Aspen                    | 14             |
| Jennifer Beals                    | 14             |
| Jennifer Berry                    | 14             |
| Jennifer Chen                     | 13             |
| Jennifer Chudy                    | 14             |
| Jennifer Ciesar                   | 15             |
| Jennifer Coolidge                 | 17             |
| Jennifer Elliot                   | 15             |
| Jennifer Erekson                  | 16             |
| Jennifer Farrell                  | 16             |
| Jennifer Fontaine                 | 17             |
| Jennifer Garner                   | 15             |
| Jennifer Gaspar                   | 15             |
| Jennifer Gates                    | 14             |
| Jennifer Goodrich                 | 17             |
| Jennifer Hocking                  | 16             |
| Jennifer Holguin                  | 16             |
| Jennifer Jai                      | 12             |
| Jennifer Jason Leigh              | 20             |
| Jennifer Jason Leigh              | 20             |
| Jennifer Joyner                   | 15             |
| Jennifer Kusner                   | 15             |
| Jennifer Laine Williams           | 23             |
| Jennifer Lancheros                | 18             |
| Jennifer Lauryn                   | 15             |
| Jennifer Lopez                    | 14             |
| Jennifer Love Hewitt              | 20             |
| Jennifer Love Hewitt              | 20             |
| Jennifer Lynn Hampton             | 21             |
| Jennifer Lyons                    | 14             |
| Jennifer Morrison                 | 17             |
| Jennifer Ohlinger                 | 17             |
| Jennifer Roy                      | 12             |
| Jennifer Salinas                  | 16             |
| Jennifer Santich                  | 16             |
| Jennifer Schwalbach Smith         | 25             |
| Jennifer Tilly                    | 14             |
| Jennifer Tilly                    | 14             |
| Jennifer Tilly                    | 14             |
| Jennifer Tilly                    | 14             |
| Jennifer Tilly                    | 14             |
| Jennifer Wetter                   | 15             |
| Jennifer Winter                   | 15             |
| Jennifer Zawadzinski              | 20             |
| Jennifer de Jong                  | 16             |
| Jenny                             | 5              |
| Jenny                             | 5              |
| Jenny                             | 5              |
| Jenny                             | 5              |
| Jenny Agutter                     | 13             |
| Jenny Bel'Air                     | 13             |
| Jenny Botsi                       | 11             |
| Jenny Cargill                     | 13             |
| Jenny Hu                          | 8              |
| Jenny Joy                         | 9              |
| Jenny Rocha                       | 11             |
| Jenny Ulving                      | 12             |
| Jens Bürger                       | 11             |
| Jens Gackenheimer                 | 17             |
| Jens Jørn Spottag                 | 17             |
| Jensen Atwood                     | 13             |
| Jeny Alessi                       | 11             |
| Jenõ Madaras                      | 12             |
| Jeon Do-yeon                      | 12             |
| Jeon Mi-seon                      | 12             |
| Jeong Gyu-su                      | 12             |
| Jeong Tae-woo                     | 13             |
| Jeong Woong-in                    | 14             |
| Jeong-eun Kim                     | 13             |
| Jeong-hoon Kim                    | 14             |
| Jeong-hwa Kim                     | 13             |
| Jeong-hwan Kong                   | 15             |
| Jeong-su Han                      | 12             |
| Jeong-tae Oh                      | 12             |
| Jeremy Asher                      | 12             |
| Jeremy Bennett                    | 14             |
| Jeremy Blaine                     | 13             |
| Jeremy Bulloch                    | 14             |
| Jeremy Curran                     | 13             |
| Jeremy Dunn                       | 11             |
| Jeremy Ebenstein                  | 16             |
| Jeremy Fontaine                   | 15             |
| Jeremy Gilley                     | 13             |
| Jeremy Glickstein                 | 17             |
| Jeremy Goldberg                   | 15             |
| Jeremy Hinton                     | 13             |
| Jeremy Irons                      | 12             |
| Jeremy Irons                      | 12             |
| Jeremy Manning                    | 14             |
| Jeremy Morris                     | 13             |
| Jeremy Northam                    | 14             |
| Jeremy Sisto                      | 12             |
| Jeremy Sisto                      | 12             |
| Jeremy Sisto                      | 12             |
| Jeremy Zierau                     | 13             |
| Jericho Rosales                   | 15             |
| Jernard Burks                     | 13             |
| Jernej Sugman                     | 13             |
| Jerome Auffret                    | 14             |
| Jerome St. John Blake             | 21             |
| Jerry Azzopardi                   | 15             |
| Jerry Carrier                     | 13             |
| Jerry Cook                        | 10             |
| Jerry Crowley                     | 13             |
| Jerry Della Salla                 | 17             |
| Jerry Dominguez                   | 15             |
| Jerry Doyle                       | 11             |
| Jerry Gelb                        | 10             |
| Jerry Kroll                       | 11             |
| Jerry Long                        | 10             |
| Jerry Longboat                    | 14             |
| Jerry Mofokeng                    | 14             |
| Jerry O'Connell                   | 15             |
| Jerry Rector                      | 12             |
| Jerry Sims                        | 10             |
| Jerry Springer                    | 14             |
| Jerry Stowell                     | 13             |
| Jerry Wong                        | 10             |
| Jertta Blomstedt                  | 16             |
| Jerzy Gralek                      | 12             |
| Jerzy Gudejko                     | 13             |
| Jerzy Mierzejewski                | 18             |
| Jesdaporn Pholdee                 | 17             |
| Jesper Fridh                      | 12             |
| Jesper Klein                      | 12             |
| Jesper Salén                      | 12             |
| Jess Hill                         | 9              |
| Jessalyn Gilsig                   | 15             |
| Jesse Baldwin                     | 13             |
| Jesse Bradford                    | 14             |
| Jesse Merrill                     | 13             |
| Jesselynn Desmond                 | 17             |
| Jessica Amstone                   | 15             |
| Jessica Andrews                   | 15             |
| Jessica Archer                    | 14             |
| Jessica Barker                    | 14             |
| Jessica Barnes                    | 14             |
| Jessica Baylis                    | 14             |
| Jessica Beshir                    | 14             |
| Jessica Espinosa                  | 16             |
| Jessica Fiorentino                | 18             |
| Jessica Fischer                   | 15             |
| Jessica Fowler                    | 14             |
| Jessica Gee-George                | 18             |
| Jessica Holter                    | 14             |
| Jessica Johnson Tavenner          | 24             |
| Jessica Jones                     | 13             |
| Jessica Jonsson                   | 15             |
| Jessica Lange                     | 13             |
| Jessica Lawson                    | 14             |
| Jessica Linnebach                 | 17             |
| Jessica Malka                     | 13             |
| Jessica May                       | 11             |
| Jessica McCartney                 | 17             |
| Jessica Porter                    | 14             |
| Jessica Rodarte                   | 15             |
| Jessica Schwarz                   | 15             |
| Jessica Smith                     | 13             |
| Jessica St. Clair                 | 17             |
| Jessica Wallenfels                | 18             |
| Jessica Windance Meddock          | 24             |
| Jessica Winters                   | 15             |
| Jessica Yates                     | 13             |
| Jessie Mae Hemphill               | 19             |
| Jessma Evans                      | 12             |
| Jesus Perez                       | 11             |
| Jesús Delaveaux                   | 15             |
| Jesús Ignacio Díaz                | 18             |
| Jesús Ochoa                       | 11             |
| Jesús Ochoa                       | 11             |
| Jesús Ramón Vera                  | 16             |
| Jesús del Val                     | 13             |
| Jet                               | 3              |
| Jharana Bajracharya               | 19             |
| Jharana Bajracharya               | 19             |
| Jharana Thapa                     | 13             |
| Jharana Thapa                     | 13             |
| Jhene Canody                      | 12             |
| Jhong Hilario                     | 13             |
| Jhumka                            | 6              |
| Ji-Ho Oh                          | 8              |
| Ji-hun Lee                        | 10             |
| Ji-min Kwak                       | 11             |
| Ji-min Kwak                       | 11             |
| Ji-na Choi                        | 10             |
| Ji-won Eun                        | 10             |
| Ji-won Ye                         | 9              |
| Ji-young Ok                       | 11             |
| Jia Song                          | 8              |
| Jia-Ying Heu                      | 12             |
| Jian Hou                          | 8              |
| Jianbin Chen                      | 12             |
| Jianjun Zhou                      | 12             |
| Jiatong Le                        | 10             |
| Jieping Chang                     | 13             |
| Jijoy Rajagopalan                 | 17             |
| Jill Balcon                       | 11             |
| Jill Crawford                     | 13             |
| Jill Ngo                          | 8              |
| Jill Ritchie                      | 12             |
| Jill Rock Jones                   | 15             |
| Jill Scott                        | 10             |
| Jill Sorensen                     | 13             |
| Jill Underwood                    | 14             |
| Jillali Ferhati                   | 15             |
| Jillian Bach                      | 12             |
| Jillian Gold                      | 12             |
| Jim Abrahams                      | 12             |
| Jim Akman                         | 9              |
| Jim Bennett                       | 11             |
| Jim Broadbent                     | 13             |
| Jim Broadbent                     | 13             |
| Jim Brown                         | 9              |
| Jim Byars                         | 9              |
| Jim Carrey                        | 10             |
| Jim Carrey                        | 10             |
| Jim Carter                        | 10             |
| Jim Caviezel                      | 12             |
| Jim Caviezel                      | 12             |
| Jim Caviezel                      | 12             |
| Jim Caviezel                      | 12             |
| Jim Cert                          | 8              |
| Jim Clarke                        | 10             |
| Jim Connors                       | 11             |
| Jim Edds                          | 8              |
| Jim Edds                          | 8              |
| Jim Flynn                         | 9              |
| Jim Garrity                       | 11             |
| Jim Halloran                      | 12             |
| Jim Hanks                         | 9              |
| Jim Hightower                     | 13             |
| Jim Iyke                          | 8              |
| Jim Janota                        | 10             |
| Jim McCullough                    | 14             |
| Jim Norton                        | 10             |
| Jim Osborn                        | 10             |
| Jim Peterson                      | 12             |
| Jim Piddock                       | 11             |
| Jim Ramel Kjellgren               | 19             |
| Jim Siokos                        | 10             |
| Jim Tom Hedrick                   | 15             |
| Jim Verraros                      | 12             |
| Jimbo Barnett                     | 13             |
| Jimena Anganuzzi                  | 16             |
| Jimena Anganuzzi                  | 16             |
| Jimena Krouco                     | 13             |
| Jimena Lindo                      | 12             |
| Jimi Mistry                       | 11             |
| Jimmie Donn Woody                 | 17             |
| Jimmie Johnson                    | 14             |
| Jimmie Johnson                    | 14             |
| Jimmy Bennett                     | 13             |
| Jimmy Bridges                     | 13             |
| Jimmy Burns                       | 11             |
| Jimmy Castillo                    | 14             |
| Jimmy Fallon                      | 12             |
| Jimmy Greene                      | 12             |
| Jimmy Hart                        | 10             |
| Jimmy Keaveney                    | 14             |
| Jimmy Lin                         | 9              |
| Jimmy Lynch                       | 11             |
| Jimmy Shergill                    | 14             |
| Jimmy Shergill                    | 14             |
| Jimmy Walker Jr.                  | 16             |
| Jimmy Woode                       | 11             |
| Jin Guo                           | 7              |
| Jin Katagiri                      | 12             |
| Jin Wang                          | 8              |
| Jin-Seo Yoon                      | 12             |
| Jin-mo Joo                        | 10             |
| Jin-young Jung                    | 14             |
| Jing Du                           | 7              |
| Jing Ning                         | 9              |
| Jing Tan                          | 8              |
| Jinghua Wang                      | 12             |
| Jingke Liang                      | 12             |
| Jinglei Xu                        | 10             |
| Jingyang Ni                       | 11             |
| Jiong He                          | 8              |
| Jirayu Chuchiang-aym              | 20             |
| Jirí Duba                         | 9              |
| Jirí Langmajer                    | 14             |
| Jirí Langmajer                    | 14             |
| Jirí Machácek                     | 13             |
| Jirí Mádl                         | 9              |
| Jirí Ornest                       | 11             |
| Jirí Ployhar                      | 12             |
| Jirí Ployhar                      | 12             |
| Jirô Dan                          | 8              |
| Jirô Kagoshima                    | 14             |
| Jishnu Brahmaputra                | 18             |
| Jishnu Raghavan                   | 15             |
| Jishnu Raghavan                   | 15             |
| Jisshu Sengupta                   | 15             |
| Jitsuko Yoshimura                 | 17             |
| Jiyun-Yi Lin                      | 12             |
| Jo Amorin                         | 9              |
| Jo Damas                          | 8              |
| Jo Kuk                            | 6              |
| Jo Kuk                            | 6              |
| Jo Marie Payton                   | 15             |
| JoJo Hristova                     | 13             |
| Joachim Bißmeier                  | 16             |
| Joachim Boje Helvang              | 20             |
| Joachim Król                      | 12             |
| Joachim Król                      | 12             |
| Joachim Król                      | 12             |
| Joah Baston                       | 11             |
| Joakim Lundgren                   | 15             |
| Joan Allen                        | 10             |
| Joan Allen                        | 10             |
| Joan Antoni Estadés               | 19             |
| Joan Blackham                     | 13             |
| Joan Chen                         | 9              |
| Joan Chen                         | 9              |
| Joan Collins                      | 12             |
| Joan Cusack                       | 11             |
| Joan Darragh                      | 12             |
| Joan Jordà                        | 10             |
| Joan Manuel Serrat                | 18             |
| Joan Marler                       | 11             |
| Joan Reig                         | 9              |
| Joana Bárcia                      | 12             |
| Joana Bárcia                      | 12             |
| Joana Curvo                       | 11             |
| Joana Ferreira                    | 14             |
| Joana Preiss                      | 12             |
| Joani Blank                       | 11             |
| Joanie Castillo                   | 15             |
| Joann Arqué                       | 11             |
| Joanna Avery                      | 12             |
| Joanna Brodzik                    | 14             |
| Joanna Brodzik                    | 14             |
| Joanna Grudzinska                 | 17             |
| Joanna Janiszewska                | 18             |
| Joanna Lumley                     | 13             |
| Joanna Pacula                     | 13             |
| Joanna Taylor                     | 13             |
| Joanne Catherall                  | 16             |
| Joanne Kelly                      | 12             |
| Joao Chirlitos                    | 14             |
| Joaquim de Almeida                | 18             |
| Joaquin Phoenix                   | 15             |
| Joaquin Phoenix                   | 15             |
| Joaquin Phoenix                   | 15             |
| Joaquín Berthold                  | 16             |
| Joaquín Climent                   | 15             |
| Joaquín Cortés                    | 14             |
| Jocelyn Bain-Hogg                 | 17             |
| Jocelyn Berado                    | 14             |
| Jocelyn Cohenhour                 | 17             |
| Jocelyn Quivrin                   | 15             |
| Jochen Nickel                     | 13             |
| Jochen Schropp                    | 14             |
| Jodhi May                         | 9              |
| Jodi Clay                         | 9              |
| Jodi Flynn                        | 10             |
| Jodi London                       | 11             |
| Jodie Brown                       | 11             |
| Jodie Foster                      | 12             |
| Jodie Foster                      | 12             |
| Jodie Foster                      | 12             |
| Jody Abrahams                     | 13             |
| Jody Hessel                       | 11             |
| Jody Noe                          | 8              |
| Joe                               | 3              |
| Joe Amato                         | 9              |
| Joe Amos                          | 8              |
| Joe Beaudin                       | 11             |
| Joe Bugner                        | 10             |
| Joe Bugner Jr.                    | 14             |
| Joe Carlucci                      | 12             |
| Joe Castiglione                   | 15             |
| Joe Corrigan                      | 12             |
| Joe Curren                        | 10             |
| Joe Davison                       | 11             |
| Joe Delafield                     | 13             |
| Joe Donnelly                      | 12             |
| Joe Dryden                        | 10             |
| Joe Edley                         | 9              |
| Joe Ely                           | 7              |
| Joe Estevez                       | 11             |
| Joe Estevez                       | 11             |
| Joe Estevez                       | 11             |
| Joe Estevez                       | 11             |
| Joe Estevez                       | 11             |
| Joe Flaherty                      | 12             |
| Joe Giordano                      | 12             |
| Joe Gnoffo                        | 10             |
| Joe Hammerstone                   | 15             |
| Joe Hammerstone                   | 15             |
| Joe Hursley                       | 11             |
| Joe Kirk                          | 8              |
| Joe Krowka                        | 10             |
| Joe Lauria                        | 10             |
| Joe Mantegna                      | 12             |
| Joe Montana                       | 11             |
